Category,Name,Net weight,Price
"Snacks","M.Y. San SkyFlakes Crackers | 25g 10pcs","25",64.5
"Snacks","Rebisco Sandwich Cracker Choco | 32g 10pcs","32",69.95
"Snacks","Regent Cheese Ring | 60g","60",18.5
"Snacks","Goldilocks Polvoron Pinipig | 300g 12pcs","300",199.5
"Snacks","Fibisco Choco Mallows | 100g","100",43.5
"Snacks","Oishi Pillows Chocolate | 38g","38",10.5
"Snacks","Nissin Wafer Choco | 12g 20pcs","12",50.5
"Snacks","Growers Salted Pistachio Nuts | 80g","80",144.5
"Snacks","Presto Creams Choco Peanut Butter | 30g 10pcs","30",68.5
"Snacks","Wl Muncher Nuts Orig Green Peas | 70g","70",16.95
"Snacks","BOY BAWANG MIXED NUTS GARLIC 100G","100",40.75
"Snacks","Goldilocks Polvoron Classic | 300g 12pcs","300",189.75
"Snacks","Nissin Butter Coconut | 14g 12pcs","14",44.5
"Snacks","Sunflower Crackers Plain | 10pcs","10",71.5
"Snacks","Mentos Fruit Mix | 135g 50pcs","135",46.5
"Snacks","Frutos Doublicious Candy | 50pcs","50",43.5
"Snacks","SM Bonus Marshmallows | 200g","200",51.5
"Snacks","Oishi Sponge Crunch Choco Soaked Snack | 30g","30",10.5
"Snacks","Martys Crackling Vegetable Chicharon Salt Vinegar | 26g","26",7.95
"Snacks","Jack & Jill Maxx Candy Honey Lemon | 50pcs","50",47.5
"Snacks","Frooty Twin Lollipop | 20pcs","20",28.5
"Snacks","Oishi Prawn Crackers Spicy | 90g","90",27.5
"Snacks","Presto Creams Choco | 30g 10pcs","30",68.5
"Snacks","Stick-O Wafer Stick Choco | 850g","850",169
"Snacks","Goldilocks Classic Polvoron | 600g 24pcs","600",374.5
"Snacks","Lemon Square Milkie Chocolate Biscuit | 127g 10pcs","127",67.5
"Snacks","WL Tattoos Corn Chips Spicy Pizza | 58g","58",8.5
"Snacks","Danish Strawberry Sandwich | 25g 10pcs","25",66.5
"Snacks","Oreo Chocolate | 29.4g 9pcs","29.4",77.95
"Snacks","Jack&Jill Nips Choco Malt | 40g","40",21.5
"Snacks","Ricoa Curly Tops | 24pcs","24",52.5
"Snacks","Phil Brand Mango Chocolate | 120g","120",389.5
"Snacks","Cocoa Monster Chocolate Mango Cubes | 170g","170",274.5
"Snacks","Chocovron Bitseize Crisped Rice | 80g","80",75
"Snacks","Nutella B Ready T6 | 132g","132",189.5
"Snacks","M.Y. San Fita Crackers | 30g","30",64.5
"Snacks","Nissin Bread Stix | 20g 10pcs","20",69.5
"Snacks","Oishi Bread Pan Cheese and Onion | 24g","24",7.95
"Snacks","Jack & Jill Nova Country Cheddar | 38g","38",19.25
"Snacks","Jack & Jill Piattos Sour Cream and Onion | 40g","40",17.95
"Snacks","Nissin Egg Nog Cookies | 18g 10pcs","18",69.5
"Snacks","Ricoa Flat Tops | 100pcs","100",194.5
"Snacks","Jack & Jill Mr. Chips Nacho Cheese | 98g","98",20.95
"Snacks","Jack & Jill VCut Potato Chips Spicy BBQ | 25g","25",19.5
"Snacks","Oishi Cracklings Salt & Vinegar | 50g","50",16.95
"Snacks","Jack & Jill Vcut Potato Chips Spicy Barbecue | 60g","60",34.5
"Snacks","Cream-O Chocolate Sandwich Cookes Choco | 30g 10pcs","30",74.5
"Snacks","Oishi Bread Pan Cheese and Onion | 42g","42",13.95
"Snacks","Oreo Vanilla | 29.4g 9pcs","29.4",77.95
"Snacks","Jack & Jill Piattos Cheese | 85g","85",35.95
"Snacks","Jack & Jill Mr. Chips Nacho Cheese | 24g","24",6.95
"Snacks","Gardenia Toasties | 30g 10pcs","30",75
"Snacks","Rebisco Hansel Plain | 32g 10pcs","32",69.95
"Snacks","Jack & Jill Nova Country Cheddar | 78g","78",34.5
"Snacks","Oishi Bread Pan Buttered Toast | 24g","24",7.95
"Snacks","Tomi Super Sweet Corn | 110g","110",27.95
"Snacks","Rebisco Dingdong Mixed Nut | 100g","100",24.5
"Snacks","Regent Snacku Vegetable Crackers | 60g","60",18.5
"Snacks","Jack & Jill Dewberry Strawberry N Cream | 33g 10pcs","33",85
"Snacks","Choc Nut Peanut Milk Chocolate | 24pcs","24",54.5
"Snacks","Oreo Strawberry | 29.4g 9pcs","29.4",77.95
"Snacks","Leslie Cheezy Cheezy | 70g","70",32.5
"Snacks","Rebisco Sandwich Cracker Strawberry | 10pcs","10",69.95
"Snacks","Cream-O Crinkles | 30g 10pcs","30",79.5
"Snacks","Hello Wafer Chocolate | 15g 10pcs","15",60
"Snacks","Chiz Curls | 18g","18",7.95
"Snacks","Fibisco The Ultimate Chocolate Chip Cookies | 600g Tin","600",259.95
"Snacks","Ricoa Flat Tops | 30pcs","30",59.5
"Snacks","Pinnacle Crisscross Creamy Cheese | 20g","20",6.95
"Snacks","M.Y. San SkyFlakes Crackers Condensada | 30g 10pcs","30",72.5
"Snacks","Rebisco Happy Nuts Garlic | 100g","100",36.5
"Snacks","Clover Chips Cheese | 55g","55",28.5
"Snacks","Rebisco Combi Triple Choco | 30g 10pcs","30",71.5
"Snacks","Dewberry Blueberrie 'N Cream | 33g 10pcs","33",85
"Snacks","Choco Crunchies Chocolate Covered Biscuits | 200g","200",81.5
"Snacks","Jack & Jill Cloud 9 Classic | 7g 36pcs","7",87.5
"Snacks","Jack & JIll Chippy BBQ | 108g","108",26.5
"Snacks","Crispy Patata Baked Potato | 24g","24",7.95
"Snacks","Rebisco Sandwich Flavor Bunch | 31g 10pcs","31",69.95
"Snacks","Milo Champ Bites | 15g","15",8.95
"Snacks","Oishi Kirei Yummy Flakes Shrimp Flavor | 45g","45",19.5
"Snacks","M.Y. San SkyFlakes Crackers | 900g","900",214.5
"Snacks","Tortillos BBQ | 100g","100",27.5
"Snacks","Smartfood Popcorn White Cheddar | 155.9g","155.9",109.95
"Snacks","Honey Butter Potato Chips | 60g","60",47.5
"Snacks","Moby Caramel Puffs | 60g","60",15.25
"Snacks","M.Y. San Skyflakes Fit Oat Fiber | 25g 10pcs","25",77.5
"Snacks","Oishi Onion Rings | 16g","16",7.95
"Snacks","Roller Coaster Cheddar Cheese | 85g","85",26.5
"Snacks","Pic A Ultimate Cheddar | 90g","90",38.95
"Snacks","Jack & Jill Piattos Roadhouse BBQ | 40g","40",19.5
"Snacks","Lotte Foods Lucheon Meat Chicken | 340g","340",147.5
"Snacks","Oishi Bread Pan White Cheddar Cheese | 24g","24",7.95
"Snacks","Jack & Jill Dewberry Blueberry Cheesecake | 33g 10pcs","33",85
"Snacks","M.Y. San Butter Cookies | 800g","800",339.5
"Snacks","Happy Nuts Salted | 5g 20pcs","5",24.5
"Snacks","M.Y. San Fita Crackers | 600g","600",214.5
"Snacks","Rebisco Bravo Biscuit | 10pcs","10",69.95
"Snacks","Loaded Choco Filled | 32g","32",9.5
"Snacks","Boy Bawang Garlic Garlic | 100g","100",18
"Snacks","Sumo Mini Sandwich Cookies Cream | 20g 10pcs","20",69.5
"Snacks","Potchi Gummikendi Strawberry Cream | 50pcs","50",43.5
"Snacks","Kit Kat Wafer | 17g 6pcs","17",90
"Snacks","Oishi Prawn Crackers Spicy | 60g","60",18.5
"Snacks","Quaker Mini Oaties Honey Nuts | 28g","28",14.5
"Snacks","Oishi Bread Pan Buttered Toast Flavor | 42g","42",13.95
"Snacks","Pringles Original | 107g can","107",92.5
"Snacks","Mentos Mint Candy | 135g 50pcs","135",46.5
"Snacks","MAGIC FLAKES FLAVORED CRACKER CHEESE 28.G (10 PCS)","10",65
"Snacks","Jack & Jill Berry Knots | 25g","25",8.95
"Snacks","Tortillos Cheese | 100g","100",27.5
"Snacks","Oishi Pillows Ube Filled Crackers | 38g","38",10.5
"Snacks","M.Y. San Happy Time Assorted | 1.5kg","1.5",449.5
"Snacks","M.Y. San Graham Crackers Honey | 210g","210",49.5
"Snacks","Oishi Fishda Kropek | 22g","22",7.95
"Snacks","Nagaraya Cracker Nuts Garlic | 80g","80",23.5
"Snacks","M.Y San Graham | 10pcs","10",76.5
"Snacks","Pinnacle Crisscross Cheesy Sour Cream and Onion | 20g","20",6.95
"Snacks","Chicharon ni Mang Juan Sukang Paombong | 90g","90",26.5
"Snacks","Oishi Fishda Kropek | 80g","80",26.5
"Snacks","Chicharon Ni Mang Juan Sukang Paombong | 26g","26",7.95
"Snacks","Nissin Bread Stix Cheese | 20g 10pcs","20",69.5
